ingest_date,district,bedrooms,currency,listing_count,avg_price,median_price,min_price,max_price,avg_area_m2,median_price_per_m2,new_listing_count,removed_listing_count,price_changed_count,offer_change_pct,calculated_at
2026-07-14,27 De Abril,3,PEN,2,1650,1650,1650,1650,113,14.6,2,0,0,null,2026-07-14T01:25:15.299954Z
2026-07-14,Alborada,1,PEN,1,1550,1550,1550,1550,48,32.29,1,0,0,null,2026-07-14T01:25:15.299954Z
2026-07-14,Alexander Von Humboldt,2,PEN,1,3000,3000,3000,3000,90,33.33,1,0,0,null,2026-07-14T01:25:15.299954Z
2026-07-14,Arboleda De Maranga,2,PEN,1,2200,2200,2200,2200,60,36.67,1,0,0,null,2026-07-14T01:25:15.299954Z
2026-07-14,Ariosto Matellini,3,PEN,1,2300,2300,2300,2300,160,14.38,1,0,0,null,2026-07-14T01:25:15.299954Z
2026-07-14,Ate Vitarte,2,PEN,5,1516,1400,1200,2000,79.6,19.18,5,0,0,null,2026-07-14T01:25:15.299954Z
2026-07-14,Ate Vitarte,3,PEN,3,1533,1200,899,2500,100.67,13.42,3,0,0,null,2026-07-14T01:25:15.299954Z
2026-07-14,Atlantis,3,PEN,1,2500,2500,2500,2500,80,31.25,1,0,0,null,2026-07-14T01:25:15.299954Z
2026-07-14,Aurora,2,PEN,1,4000,4000,4000,4000,89,44.94,1,0,0,null,2026-07-14T01:25:15.299954Z
2026-07-14,Aurora,3,PEN,2,6305,6000,6000,6610,192,32.09,2,0,0,null,2026-07-14T01:25:15.299954Z
2026-07-14,Balconcillo,2,PEN,3,2100,2100,1800,2400,61.33,38.89,3,0,0,null,2026-07-14T01:25:15.299954Z
2026-07-14,Barboncito,1,PEN,1,1100,1100,1100,1100,15,73.33,1,0,0,null,2026-07-14T01:25:15.299954Z
2026-07-14,Barranco,1,PEN,25,2496,2500,1800,3300,49.88,49.14,25,0,0,null,2026-07-14T01:25:15.299954Z
2026-07-14,Barranco,2,PEN,10,2614,2600,2100,3200,61.1,44.83,10,0,0,null,2026-07-14T01:25:15.299954Z
